등록일시,총사망자,총확진자,게시글번호,기준일,기준시간,수정일시,누적의심자,누적확진율,일일확진자,일일사망자,요일
2020-03-10 00:00:00.000,54,7513,51,2020-03-10,00:00,2021-10-07 10:30:51.51,210144.0,3.919308057,0.0,0.0,화
2020-03-11 00:00:00.000,60,7755,52,2020-03-11,00:00,2021-10-07 10:30:51.51,222395.0,3.804174536,242.0,6.0,수
2020-03-12 00:00:00.000,66,7869,53,2020-03-12,00:00,2021-10-07 10:30:51.51,234998.0,3.621744273,114.0,6.0,목
2020-03-13 00:00:00.000,67,7979,54,2020-03-13,00:00,2021-10-07 10:30:51.51,248647.0,3.458499309,110.0,1.0,금
2020-03-14 00:00:00.000,72,8086,55,2020-03-14,00:00,2021-10-07 10:30:51.51,261335.0,3.318000336,107.0,5.0,토
2020-03-15 00:00:00.000,75,8162,56,2020-03-15,00:00,2021-10-07 10:30:51.51,268212.0,3.239660237,76.0,3.0,일
2020-03-16 00:00:00.000,75,8236,57,2020-03-16,00:00,2021-10-07 10:30:51.51,274504.0,3.173392208,74.0,0.0,월
2020-03-17 00:00:00.000,81,8320,58,2020-03-17,00:00,2021-10-07 10:30:51.51,286716.0,3.088057901,84.0,6.0,화
2020-03-18 00:00:00.000,84,8413,59,2020-03-18,00:00,2021-10-07 10:30:51.51,295647.0,3.012162506,93.0,3.0,수
2020-03-19 00:00:00.000,91,8565,60,2020-03-19,00:00,2021-10-07 10:30:51.51,307024.0,2.942085738,152.0,7.0,목
2020-03-20 00:00:00.000,94,8652,61,2020-03-20,00:00,2021-10-07 10:30:51.51,316664.0,2.873091828,87.0,3.0,금
2020-03-21 00:00:00.000,102,8799,62,2020-03-21,00:00,2021-10-07 10:30:51.51,327509.0,2.82195603,147.0,8.0,토
2020-03-22 00:00:00.000,104,8897,63,2020-03-22,00:00,2021-10-07 10:30:51.51,331780.0,2.804501324,98.0,2.0,일
2020-03-23 00:00:00.000,111,8961,64,2020-03-23,00:00,2021-10-07 10:30:51.51,338036.0,2.762262336,64.0,7.0,월
